"iet_name";"iet_istypedby";"isc_name";"isc_version"
IfcSpace;IfcSpaceType;IFC4X1;"4.1.0.0"
IfcSpatialZone;IfcSpatialZoneType;IFC4X1;"4.1.0.0"
IfcStackTerminal;IfcStackTerminalType;IFC4X1;"4.1.0.0"
IfcStair;IfcStairType;IFC4X1;"4.1.0.0"
IfcTendon;IfcTendonType;IFC4X1;"4.1.0.0"
IfcTendonAnchor;IfcTendonAnchorType;IFC4X1;"4.1.0.0"
IfcDistributionElement;IfcDistributionElementType;IFC4X3_ADD1;"4.3.1.0"
IfcTransformer;IfcTransformerType;IFC4X1;"4.1.0.0"
IfcUnitaryEquipment;IfcUnitaryEquipmentType;IFC4X1;"4.1.0.0"
IfcValve;IfcValveType;IFC4X1;"4.1.0.0"
IfcVibrationIsolator;IfcVibrationIsolatorType;IFC4X1;"4.1.0.0"
IfcWall;IfcWallType;IFC4X1;"4.1.0.0"
IfcWasteTerminal;IfcWasteTerminalType;IFC4X1;"4.1.0.0"
IfcDoor;IfcDoorType;IFC4X1;"4.1.0.0"
IfcActuator;IfcActuatorType;IFC4X1;"4.1.0.0"
IfcAirTerminal;IfcAirTerminalType;IFC4X1;"4.1.0.0"
IfcBeam;IfcBeamType;IFC4X1;"4.1.0.0"
IfcCompressor;IfcCompressorType;IFC4;"4.0.2.1"
IfcCondenser;IfcCondenserType;IFC4;"4.0.2.1"
IfcElectricMotor;IfcElectricMotorType;IFC4;"4.0.2.1"
IfcFastener;IfcFastenerType;IFC4;"4.0.2.1"
IfcFlowTerminal;IfcFlowTerminalType;IFC4;"4.0.2.1"
IfcFlowTreatmentDevice;IfcFlowTreatmentDeviceType;IFC4;"4.0.2.1"
IfcFurnishingElement;IfcFurnishingElementType;IFC4;"4.0.2.1"
IfcFurniture;IfcFurnitureType;IFC4;"4.0.2.1"
IfcOutlet;IfcOutletType;IFC4;"4.0.2.1"
IfcProtectiveDeviceTrippingUnit;IfcProtectiveDeviceTrippingUnitType;IFC4;"4.0.2.1"
IfcPump;IfcPumpType;IFC4;"4.0.2.1"
IfcActuator;IfcActuatorType;IFC4X3_ADD1;"4.3.1.0"
IfcAirTerminal;IfcAirTerminalType;IFC4X3_ADD1;"4.3.1.0"
IfcAirTerminalBox;IfcAirTerminalBoxType;IFC4X3_ADD1;"4.3.1.0"
IfcSlab;IfcSlabType;IFC4;"4.0.2.1"
IfcTank;IfcTankType;IFC4;"4.0.2.1"
IfcAirToAirHeatRecovery;IfcAirToAirHeatRecoveryType;IFC4X3_ADD1;"4.3.1.0"
IfcAlarm;IfcAlarmType;IFC4X3_ADD1;"4.3.1.0"
IfcUnitaryControlElement;IfcUnitaryControlElementType;IFC4;"4.0.2.1"
IfcDamper/BACKDRAFTDAMPER;IfcDamperType/BACKDRAFTDAMPER;IFC4X3_ADD1;"4.3.1.0"
IfcDamper/BALANCINGDAMPER;IfcDamperType/BALANCINGDAMPER;IFC4X3_ADD1;"4.3.1.0"
IfcAudioVisualAppliance;IfcAudioVisualApplianceType;IFC4X3_ADD1;"4.3.1.0"
IfcBearing;IfcBearingType;IFC4X3_ADD1;"4.3.1.0"
IfcBeam;IfcBeamType;IFC4X3_ADD1;"4.3.1.0"
IfcBoiler;IfcBoilerType;IFC4X3_ADD1;"4.3.1.0"
IfcBuiltElement;IfcBuiltElementType;IFC4X3_ADD1;"4.3.1.0"
IfcBuildingElementPart;IfcBuildingElementPartType;IFC4X3_ADD1;"4.3.1.0"
IfcBuildingElementProxy;IfcBuildingElementProxyType;IFC4X3_ADD1;"4.3.1.0"
IfcBurner;IfcBurnerType;IFC4X3_ADD1;"4.3.1.0"
IfcCableCarrierFitting;IfcCableCarrierFittingType;IFC4X3_ADD1;"4.3.1.0"
IfcCaissonFoundation;IfcCaissonFoundationType;IFC4X3_ADD1;"4.3.1.0"
IfcCableFitting;IfcCableFittingType;IFC4X3_ADD1;"4.3.1.0"
IfcCableSegment;IfcCableSegmentType;IFC4X3_ADD1;"4.3.1.0"
IfcChiller;IfcChillerType;IFC4X3_ADD1;"4.3.1.0"
IfcCivilElement;IfcCivilElementType;IFC4X3_ADD1;"4.3.1.0"
IfcDiscreteAccessory/FLASHING;IfcDiscreteAccessoryType/FLASHING;IFC4X3_ADD1;"4.3.1.0"
IfcCoil;IfcCoilType;IFC4X3_ADD1;"4.3.1.0"
IfcColumn;IfcColumnType;IFC4X3_ADD1;"4.3.1.0"
IfcCommunicationsAppliance;IfcCommunicationsApplianceType;IFC4X3_ADD1;"4.3.1.0"
IfcBuildingElementPart;IfcBuildingElementPartType;IFC4;"4.0.2.1"
IfcConstructionResource;IfcConstructionResourceType;IFC4X3_ADD1;"4.3.1.0"
IfcConveyorSegment;IfcConveyorSegmentType;IFC4X3_ADD1;"4.3.1.0"
IfcConstructionEquipmentResource;IfcConstructionEquipmentResourceType;IFC4X3_ADD1;"4.3.1.0"
IfcConstructionMaterialResource;IfcConstructionMaterialResourceType;IFC4X3_ADD1;"4.3.1.0"
IfcConstructionProductResource;IfcConstructionProductResourceType;IFC4X3_ADD1;"4.3.1.0"
IfcController;IfcControllerType;IFC4X3_ADD1;"4.3.1.0"
IfcChiller;IfcChillerType;IFC4;"4.0.2.1"
IfcCourse;IfcCourseType;IFC4X3_ADD1;"4.3.1.0"
IfcChimney;IfcChimneyType;IFC4;"4.0.2.1"
IfcBuildingElementProxy;IfcBuildingElementProxyType;IFC4;"4.0.2.1"
IfcDiscreteAccessory;IfcDiscreteAccessoryType;IFC4;"4.0.2.1"
IfcBoiler/WATER;IfcBoilerType/WATER;IFC4;"4.0.2.1"
IfcCovering;IfcCoveringType;IFC4X3_ADD1;"4.3.1.0"
